; @; +; *; (; ); a; ,; $; E; T; F; P; L
0; ; ; ; d 3; ; d 4; ; ; 2; 6; 5; 1;
1; d 7; r 6; r 6; ; r 6; ; r 6; r 6; ; ; ; ;
2; ; d 8; ; ; ; ; ; act; ; ; ; ;
3; ; ; ; d 3; ; d 4; ; ; 9; 6; 5; 1;
4; r 8; r 8; r 8; d 10; r 8; ; r 8; r 8; ; ; ; ;
5; ; r 4; r 4; ; r 4; ; r 4; r 4; ; ; ; ;
6; ; r 2; d 11; ; r 2; ; r 2; r 2; ; ; ; ;
7; ; ; ; d 3; ; d 4; ; ; ; ; 12; 1;
8; ; ; ; d 3; ; d 4; ; ; ; 13; 5; 1;
9; ; d 8; ; ; d 14; ; ; ; ; ; ; ;
10; ; ; ; d 3; ; d 4; ; ; 15; 6; 5; 1; 16
11; ; ; ; d 3; ; d 4; ; ; ; ; 17; 1;
12; ; r 5; r 5; ; r 5; ; r 5; r 5; ; ; ; ;
13; ; r 1; d 11; ; r 1; ; r 1; r 1; ; ; ; ;
14; r 7; r 7; r 7; ; r 7; ; r 7; r 7; ; ; ; ;
15; ; d 8; ; ; r 11; ; r 11; ; ; ; ; ;
16; ; ; ; ; d 19; ; d 18; ; ; ; ; ;
17; ; r 3; r 3; ; r 3; ; r 3; r 3; ; ; ; ;
18; ; ; ; d 3; ; d 4; ; ; 20; 6; 5; 1;
19; r 9; r 9; r 9; ; r 9; ; r 9; r 9; ; ; ; ;
20; ; d 8; ; ; r 10; ; r 10; ; ; ; ; ;
